Composite.Element.REF	TCGA-FF-8041-01	TCGA-FF-8042-01	TCGA-FF-8043-01	TCGA-FF-8046-01	TCGA-FF-8047-01	TCGA-FF-8061-01	TCGA-FF-8062-01	TCGA-G8-6325-01	TCGA-G8-6326-01	TCGA-G8-6906-01	TCGA-G8-6914-01	TCGA-FA-8693-01	TCGA-FM-8000-01	TCGA-FA-A82F-01	TCGA-FA-A86F-01	TCGA-FA-A7Q1-01	TCGA-FF-A7CW-01	TCGA-FA-A4BB-01	TCGA-FA-A7DS-01	TCGA-FA-A4XK-01	TCGA-RQ-A68N-01	TCGA-FA-A6HN-01	TCGA-FA-A6HO-01	TCGA-RQ-A6JB-01	TCGA-FF-A7CR-01	TCGA-FF-A7CX-01	TCGA-VB-A8QN-01	TCGA-GS-A9TT-01	TCGA-GS-A9TV-01	TCGA-GS-A9TW-01	TCGA-GS-A9TX-01	TCGA-GS-A9TZ-01	TCGA-GS-A9U4-01
IGFBP2|IGFBP2	0.8687	1.5752	-0.8644	-1.0547	-0.9019	-0.5571	0.3937	0.6841	-0.2049	0.5678	-0.9042	0.711	2.1151	-0.8708	-0.683	1.9389	-1.0428	-0.0148	-0.3037	0.4868	0.9647	-0.5248	-0.5452	0.1029	-1.601	-0.254	0.6031	1.288	-1.6328	-0.8696	-0.7191	-0.5402	1.7889
INPP4B|INPP4B	-0.839	-0.9931	-0.7393	-0.0799	0.1615	-1.271	0.757	0.2473	1.8958	-1.9476	-0.6082	0.7929	-1.692	0.6654	1.7209	0.8733	-0.7593	0.8934	-0.6474	-0.3344	0.126	0.8993	1.0068	-0.6941	-0.243	0.0965	-1.2099	-1.5858	1.855	0.3275	1.0141	-0.1337	0.445
IRS1|IRS1	0.315	2.3471	-1.5089	0.2621	-0.0447	2.5306	-0.6327	0.0403	0.6202	0.1502	-1.3978	-0.6185	1.4563	1.6623	-0.41	0.2548	-1.0514	-0.6395	0.3322	-0.7476	-1.2889	-0.0061	-0.4893	1.0265	-0.978	-0.3865	-0.0435	0.3429	-1.5812	-0.6626	0.0122	0.1028	1.0318
MAPK8|JNK_pT183_Y185	-0.2601	-1.002	0.3687	1.629	-0.3219	-0.0257	-0.7649	-0.045	-0.4576	0.3256	-0.9332	-0.9292	-0.9809	1.0302	1.6753	2.3311	-0.5615	-0.2453	-0.4173	-2.0575	1.3421	1.0537	0.6264	1.3708	-0.9531	-0.1768	-1.413	0.1911	-1.5925	0.6916	0.1839	-0.0603	0.3785
MAPK9|JNK2	0.61	-0.6748	1.1595	-1.0056	-0.3873	-0.0789	-0.3329	0.3154	1.5192	0.2823	-1.0009	-0.0398	0.272	-2.1556	0.6254	2.8299	0.037	-0.2513	-1.2284	0.364	-1.8347	-0.8755	0.4138	-0.9963	-0.4939	0.6332	-0.131	-0.1292	0.7989	-0.2265	1.6514	1.1105	-0.7798
XRCC5|Ku80	0.2534	-1.0613	-0.7297	1.3617	-0.3017	0.4766	-0.4624	0.7863	-2.3261	0.2642	-0.7714	-0.2743	0.105	0.6377	0.2382	-1.5265	-0.0741	-1.4159	0.8863	1.1163	0.2901	1.1918	-0.9657	-1.4086	0.109	-0.0606	0.0425	1.2935	-0.3287	1.0345	1.6337	1.6234	-1.6374
LCK|Lck	0.746	0.5271	-0.2771	0.4465	0.6823	0.036	-0.6915	-0.3885	-1.7559	0.0245	1.1775	-0.1821	2.242	-0.3249	1.5331	-0.5342	-0.6681	-0.3707	-0.8279	-2.0818	-0.5131	0.8305	0.2179	-1.1607	0.344	-0.158	-0.2295	-1.7148	1.5257	-1.106	1.7307	0.9423	-0.0212
STK11|LKB1	0.0065	-0.2316	-0.1473	-0.3564	-1.3393	0.1514	-1.497	1.6201	2.7487	-0.3393	-0.7533	0.3183	0.348	0.6352	-0.3415	-0.7374	-1.1773	1.288	1.3582	0.2551	-0.6203	-0.5873	-0.883	1.9647	-1.3284	0.9973	-0.2624	-0.4338	-0.4629	0.1991	-0.756	-0.9041	1.268
MAPK1 MAPK3|MAPK_pT202_Y204	-1.0485	0.9069	0.1654	0.2956	0.0166	-1.112	1.7049	-0.228	0.8878	-0.968	-0.1888	-1.0135	-0.242	-0.8919	2.6358	0.6299	0.8902	-0.2955	-1.409	-1.4111	1.0281	-0.588	0.3673	2.503	0.0605	0.546	-0.79	-0.6529	-0.504	-0.2027	-1.1658	-0.201	0.2749
MAP2K1|MEK1	1.3119	0.3698	0.6543	-0.1465	-0.1469	0.4351	0.6374	0.4914	0.6649	0.7446	-0.3256	-0.4321	1.7896	-2.273	-0.2498	0.7494	-0.6171	-0.5484	-2.7309	0.6188	-1.7565	-1.7126	-0.1065	0.1776	-0.8354	0.5008	0.9038	0.5166	-0.3977	-0.3585	1.357	0.8827	-0.1683
MAP2K1|MEK1_pS217_S221	-1.2357	1.0009	0.354	0.2417	-1.1037	-0.4344	-0.2825	1.0511	0.7506	2.2328	0.7825	-0.4622	0.2293	-0.0597	0.0114	0.1506	-0.9495	1.501	1.0451	-0.6456	0.9895	-0.2822	-0.5506	1.4519	-2.0476	-0.9436	-0.1782	-0.8713	-0.9607	0.0228	-2.238	0.3412	1.0892
ERRFI1|MIG-6	-0.0954	0.3446	1.2221	-0.8629	-1.076	-0.3679	-1.9326	1.795	2.1249	-0.3263	-0.6161	0.2722	-1.475	1.356	-0.9175	-1.5087	-1.3527	0.7537	-0.3521	0.7239	-0.5554	0.0614	-1.0271	0.5456	-0.6228	0.3455	0.7542	0.8056	0.1834	1.6059	-0.7975	0.489	0.5029
MRE11A|Mre11	0.4479	0.2464	1.1452	-0.2467	-1.0952	0.4137	-1.2322	0.1681	-0.3639	-0.5666	-0.8041	0.1706	-1.5283	1.8959	-0.706	1.5363	-0.8955	0.4081	1.9828	0.2539	0.6716	-0.9156	0.3495	1.3344	-1.7482	0.6492	-1.7213	-0.0747	-0.8866	0.1846	-0.5145	-0.2298	1.6707
MTOR|mTOR	-0.3884	-0.4389	0.8927	0.1129	0.6241	0.3844	0.0021	0.9441	-4.2427	-0.0463	-0.0308	1.032	0.5248	0.0489	0.7928	1.1208	-0.3895	1.0494	-0.1772	-0.4504	0.2133	0.5646	0.007	-1.7883	0.4105	-0.5414	0.0682	-1.2785	1.0413	0.3796	0.5437	-0.6107	-0.374
MTOR|mTOR_pS2448	-0.306	-0.0514	-0.2202	-0.6155	1.1931	-0.6119	0.7319	0.5119	-2.5613	-0.1141	0.1621	-0.5537	-0.4469	-1.4133	1.6706	1.1091	0.7341	0.4579	-1.5774	-0.9559	0.8821	1.257	1.4492	-1.2513	0.8314	-0.478	-1.0709	-1.0269	1.0815	-0.1869	1.241	0.6593	-0.5307
CDH2|N-Cadherin	-0.6881	0.4626	-1.31	1.048	0.5659	0.145	-0.2726	-0.0477	-0.3047	-1.1785	-0.8615	-0.2928	-1.4541	1.959	-0.8209	1.9003	0.3424	0.7772	1.17	-0.5421	-0.3371	-0.5973	0.5083	1.6804	-1.8022	-0.7732	-0.789	0.3233	-0.7911	-0.1831	-0.7771	1.0029	1.9379
NFKB1|NF-kB-p65_pS536	0.7081	-0.5979	0.2635	-0.6725	0.0978	-0.4477	0.5651	-0.8963	-2.2895	0.7054	0.2777	-1.1261	0.3676	-0.9547	-0.3532	0.071	0.261	-0.9797	-0.9252	-1.0996	-1.075	0.8712	-0.4515	-0.7213	1.3441	-1.2643	0.496	0.5455	1.6707	0.5966	2.0177	2.0635	0.9323
NF2|NF2	0.0979	-2.0684	-2.2408	0.4941	-0.0987	0.2452	-1.0003	0.2361	-0.7654	0.414	-0.2606	0.6732	-0.2208	0.4746	0.5681	0.2702	-0.0883	1.3084	0.0905	1.1366	0.0242	0.0299	-0.669	-1.5156	-0.1753	-0.5427	0.5811	1.1424	0.9994	-1.1807	0.666	2.7918	-1.417
NOTCH1|Notch1	1.4802	0.9959	-0.4076	-0.5116	-1.3008	0.5372	-0.7379	0.7665	1.4327	-0.5092	-0.8211	-0.0741	0.2703	-1.1444	-0.1344	-0.0769	-0.0311	-1.8298	1.9776	-0.8251	-1.0694	-0.8337	-0.1049	0.7748	-0.4864	-0.1892	2.6389	0.2863	-0.463	1.4936	-0.5093	-1.0995	0.5053
CDH3|P-Cadherin	0.0061	0.4885	-1.083	0.0631	-0.4628	0.4334	-0.6271	0.9532	-0.1883	-2.2093	-0.636	0.5938	-2.0566	0.8928	1.8265	0.4942	0.0873	-0.7855	1.5928	-0.5292	-0.6678	-0.0918	-0.0424	1.5842	-1.0807	-0.376	-0.8935	-0.0983	0.322	-0.3585	0.7047	2.4947	-0.3501
CDKN1B|p27	-0.5009	-0.6879	-1.3031	0.1742	-0.7209	-0.608	-0.2796	-0.5817	3.5163	-0.3086	-0.7109	0.3482	-0.316	-0.051	1.4474	-0.9818	-0.7825	0.3547	-0.9284	0.3584	-0.5692	0.6795	-0.3025	0.9591	-0.4194	2.1013	-0.9953	-0.9986	0.8692	-0.3771	1.3898	0.2446	-0.0193
CDKN1B|p27_pT157	0.1065	-0.1152	-1.9804	0.9982	1.7494	1.2274	-0.5369	0.242	2.0267	-0.3601	-0.5044	-0.9485	1.0287	-0.5228	-0.2971	1.3837	-0.8659	-2.1381	-0.1012	-0.2855	-1.2175	0.7458	0.5303	1.2164	-1.6361	1.0038	-0.0867	-0.2821	-0.7396	0.2175	0.6909	0.0502	-0.5994
MAPK14|p38_MAPK	-0.6024	-0.1522	-0.5605	-0.3888	-0.6863	0.2206	-1.3416	1.1266	-1.6012	-0.4721	-0.0425	0.9761	-0.7256	0.906	0.3728	-0.0827	-1.6458	1.5924	0.4955	-0.8623	0.1828	1.4418	-0.17	-2.3295	0.0998	-1.256	0.5497	-0.5649	1.8943	1.3958	0.7564	0.9829	0.4908
MAPK14|p38_pT180_Y182	-0.7458	-0.0542	-0.0141	-0.082	0.9848	-0.7426	0.696	1.0053	-1.3106	-0.4013	-0.2893	-0.475	-0.4271	-2.0418	1.6543	-0.2738	0.5577	1.1248	-2.4178	-1.7593	0.2316	1.2561	0.9605	-0.3736	0.9193	-0.1561	-1.032	-0.8593	1.2705	0.0278	0.9888	0.9566	0.8217
TP53|p53	-0.3444	-0.069	-0.5223	-0.0411	0.4813	0.7183	-0.2803	0.3411	-3.6211	-0.6469	-0.4605	0.0691	-1.4035	3.6502	0.0783	1.1373	-0.1845	0.1014	0.2569	0.2005	0.0006	0.3795	0.6132	0.3606	-0.4837	0.0437	-0.3425	-0.1339	0.1361	0.1746	0.1247	-0.2825	-0.051
RPS6KB1|p70S6K	0.501	-0.4598	0.9265	-0.225	2.5764	0.4106	-1.0591	0.2861	0.1025	-0.3113	0.0007	0.1773	1.6825	-1.785	0.1209	1.1435	-0.2647	-0.8471	-0.2229	-0.2325	-1.3931	0.6187	-0.2049	-1.413	-0.2096	-0.6512	0.7946	-1.0148	-0.4415	0.3064	1.1918	1.8247	-1.9284
RPS6KB1|p70S6K_pT389	0.3392	0.87	0.1834	-0.0614	2.5045	0.4466	0.5067	0.2166	-2.4358	-1.0405	0.2155	-1.0144	-0.0893	0.3514	-0.5437	2.3502	0.4387	0.0017	0.08	-0.6755	0.9796	-0.2136	0.9579	1.0409	-0.809	-1.4979	-1.4605	-0.6487	-1.1414	-0.3763	-0.4081	0.2281	0.7049
RPS6KA1|p90RSK_pT359_S363	-0.7322	1.1148	-0.5404	0.3398	1.1512	-0.528	1.44	-0.3689	-1.511	-0.8889	-0.7694	-1.0514	-0.3407	0.7368	0.3735	1.5923	0.2701	0.3023	0.5398	-1.04	-0.0711	0.5839	0.5941	1.9704	-0.6226	-1.3959	-0.7611	-0.705	-1.7751	-0.5102	-0.0491	0.223	2.4291
SERPINE1|PAI-1	-0.1	0.1846	1.0315	-0.4224	-0.887	0.5553	-0.1332	1.0609	0.0522	1.6089	0.3779	-0.98	-0.7611	1.2186	-1.4553	0.3056	-1.152	-0.0398	0.9739	-0.4349	-0.0657	-1.5639	-1.3588	0.2114	-1.1552	0.4595	1.2857	2.5283	-1.3461	1.1989	-0.9357	-0.8194	0.5571
PXN|Paxillin	0.2044	-0.1913	-0.1567	-0.2994	-1.8184	-0.2737	0.1347	1.0929	3.1022	0.1753	0.2126	0.4504	-0.1982	-2.3788	0.7062	0.2016	-0.4202	-2.7865	-0.7969	-0.5422	0.0058	0.5165	-0.2705	0.5674	-0.3496	0.1905	-0.061	-0.0519	1.1699	0.6043	0.2977	0.2695	0.6934
PCNA|PCNA	0.958	0.916	2.3072	1.5216	-0.7016	1.5379	-1.2392	0.1913	-0.7273	-1.2632	0.0658	-0.2161	0.4262	0.9767	-1.3254	-0.5695	-0.632	-0.7174	1.5222	0.1517	-0.3079	-0.6537	-0.9442	0.2647	0.0385	0.6128	1.1737	0.7327	-1.0927	0.6479	-1.2057	-0.6378	-1.8109
PDK1|PDK1_pS241	-0.6553	-1.9108	1.4574	0.1578	-0.5564	0.591	-0.8898	1.0412	-0.5041	0.2033	-0.3478	0.8673	2.0409	-1.1104	0.7694	-0.9617	-0.5712	1.9231	-0.9567	0.0993	-0.4259	0.6855	-0.5234	-1.3439	1.0012	-0.9306	-0.0426	-1.5586	1.6573	-0.0483	0.4682	0.9401	-0.5657
PEA15|PEA15	-0.7662	-2.3904	-0.8494	-0.4753	-1.2821	-1.3904	-1.3814	1.725	1.7508	-0.3787	-0.6045	0.148	0.4872	1.7106	0.8056	0.4102	-0.5696	1.6982	-0.9827	0.6727	0.0671	0.5304	-0.4962	0.9052	-0.9159	-0.0196	0.065	-0.7418	0.3878	-0.0974	0.4341	1.4052	0.1384
PIK3CA |PI3K-p110-alpha	-0.75	1.2174	0.7031	0.6315	1.9953	-0.1821	-0.868	1.3777	0.2792	-0.3371	0.2418	-0.0949	-1.5756	2.549	-0.8042	0.9356	-0.4596	0.5168	-0.9731	-0.9278	-0.5006	0.1612	0.4241	-0.0995	-0.8161	0.3531	1.4512	-1.3584	-0.5851	0.0502	0.452	-1.6908	-1.3165
PRKCA |PKC-alpha	0.5839	-1.573	-0.0562	0.9828	0.5367	1.1104	0.5047	-0.9838	-2.3701	-0.9781	-0.1421	0.211	-0.8731	-0.3672	0.2496	1.3016	-0.4958	2.0067	-0.447	1.1583	0.2345	0.763	-0.5043	-1.8932	-0.303	0.4267	-0.8076	-0.8998	0.941	-0.6713	1.9207	0.3486	0.0852
PRKCA |PKC-alpha_pS657	0.2262	-1.5623	-0.0868	0.9265	0.7877	1.1664	0.6789	-0.4907	-3.4198	-0.7081	-0.2598	0.2735	-0.729	0.25	0.5205	1.3758	-0.2844	1.5063	-0.2175	0.9145	0.2722	0.8269	-0.1324	-1.6704	-0.0307	-0.0517	-0.4069	-0.9014	0.6747	-1.0682	1.5566	0.2062	-0.143
PRKCD|PKC-delta_pS664	0.7535	-0.6498	-1.1247	-0.8997	1.1265	-0.2872	-0.1316	0.5842	-1.6508	0.5563	0.3059	0.2537	1.3933	-2.2305	0.6125	0.7213	0.3928	0.1399	-1.7399	-0.2784	-0.7452	1.4545	0.6156	-0.6655	0.4464	0.2537	-0.7605	-0.3589	0.893	-1.0201	2.2995	0.9469	-1.2067
PGR|PR	0.5775	-0.0864	0.3161	0.1961	0.0656	0.5409	-1.3098	0.2727	-0.3798	0.0435	-0.1805	-0.5793	-0.2876	0.7195	-1.0049	0.5298	-1.4136	-1.0218	2.763	0.1694	0.4261	-0.0552	-1.2846	0.6242	-0.1032	1.96	-0.634	1.9314	-1.5936	-0.4924	-0.322	1.2476	-1.6346
AKT1S1|PRAS40_pT246	-0.633	0.3731	-0.9357	-0.1163	2.3197	-0.445	1.3047	-0.429	1.6982	0.8049	-1.0298	-1.3002	0.7789	-1.3652	1.9177	1.2808	-0.0937	-1.2244	-0.8672	-1.1559	-0.2567	0.7113	0.9726	1.0523	0.1295	0.0352	-1.0188	-0.1758	-0.2867	-0.2156	0.3705	-0.9601	-1.2403
PTEN|PTEN	0.1566	-0.4259	0.5938	-1.4043	-0.1281	1.4557	0.1215	0.0254	-2.6983	0.6814	0.7556	0.2231	3.3931	-1.5711	-0.2574	-0.1619	0.6401	-0.6832	-0.1539	0.7806	0.1335	0.2635	-0.4551	-1.3795	1.0824	0.101	-0.572	-0.26	0.32	-0.5113	-0.3754	0.0085	0.3016
RAD50|Rad50	0.8933	0.4471	1.9348	0.4417	-1.419	0.145	-0.7773	0.2648	-1.8554	-0.4817	-0.4966	0.1437	-0.7626	1.7606	-0.1473	0.438	0.2228	0.6162	0.754	0.9742	0.5757	-0.0774	0.4064	-1.1419	-0.2123	0.4755	-2.9408	0.2163	-0.2929	0.2359	0.2748	1.1741	-1.7896
RAD51|Rad51	-0.7132	0.5229	-0.5175	0.8114	-0.0495	0.3836	-0.3684	-0.259	-1.6807	-1.5364	-0.0102	-0.0573	-0.3309	1.3354	-1.2173	0.6623	0.4582	1.3157	1.3279	-0.6033	-0.1244	-0.2758	-0.1208	1.8633	-1.0035	-0.7181	0.7629	-0.4473	-1.0641	0.3275	-0.79	-0.9271	3.0435
RB1|Rb_pS807_S811	-0.0891	1.3365	-1.2706	-0.1347	1.772	1.3824	1.0741	-0.5914	-0.7287	-0.7316	0.7918	0.2939	-0.5534	-2.3782	-0.2539	-0.51	0.7397	-0.3247	-2.1753	-1.152	0.5615	-0.046	0.6103	-0.2193	2.054	0.8032	-0.0249	1.0912	-0.0015	0.0931	0.23	-0.7067	-0.9416
RPS6|S6	-0.0269	-1.6532	-0.3356	1.1981	0.2772	1.2643	-0.586	0.0165	-3.5045	0.0113	-0.2604	-0.2026	-0.7908	1.2917	-0.2713	0.1292	-0.0468	-0.3301	0.363	0.6616	0.4012	0.7427	0.1073	-0.9592	0.8523	0.4994	-0.4273	0.1373	0.6198	1.0929	1.4485	0.4183	-2.138
RPS6|S6_pS235_S236	-1.0397	-1.3997	-0.3099	-0.1549	0.2993	-1.1513	1.0288	0.6579	-2.1835	-0.2111	0.5111	-0.9115	-1.5828	-0.7573	0.2159	0.7548	1.3328	0.3309	-0.845	0.3753	2.176	0.5912	0.2261	-0.3475	1.4917	-0.7035	-1.0423	-0.6022	1.1455	0.6688	-0.0941	-0.2903	1.8207
RPS6|S6_pS240_S244	0.1231	-1.7681	-0.4754	0.0018	0.0838	-0.9312	1.4038	-0.2242	-1.9315	-0.3035	-0.1285	-0.7039	-2.1396	-0.6924	-0.3288	0.4721	1.0646	-0.0008	0.0131	0.9631	1.8732	0.5402	-0.0314	-0.6988	1.464	-0.8666	-1.425	-0.1284	1.0834	1.3878	0.451	0.3344	1.5189
SHC1|Shc_pY317	-1.543	-1.2393	1.6542	0.2215	1.746	-0.1488	-0.0754	0.2941	1.1872	-1.1571	0.8645	0.4994	1.3223	-1.9117	0.8208	1.6031	-0.427	-0.4004	-1.2048	-0.0185	-1.3583	0.4519	0.3067	-1.3478	-0.4001	-0.1873	1.0285	-1.0699	0.429	0.1943	1.1827	-0.4303	-0.8866
SMAD1|Smad1	1.8355	-1.0124	0.6997	1.7903	-0.1607	0.2859	-0.413	-0.6543	-0.0009	0.4461	0.0337	-0.7061	-0.5148	-0.2973	0.2304	-1.1087	-0.4145	0.009	-0.2415	-0.5049	-0.7087	-0.4108	-0.5433	-0.3998	-0.6811	0.2902	-1.0094	-0.0186	-0.3295	1.0439	2.7146	2.5938	-1.843
SMAD3|Smad3	1.4869	0.0007	-0.3716	1.7221	0.1568	0.6779	-0.5815	0.3894	2.5746	0.959	-0.2686	-0.4576	0.5052	-0.2816	-0.1677	-1.4855	-0.8857	-1.2659	0.7535	-1.7795	-0.7467	0.3426	-0.6734	0.6943	-0.1334	0.86	-1.1473	1.0599	-1.0503	-1.1355	0.7959	0.7771	-1.3242
SMAD4|Smad4	0.1615	0.5515	1.4918	0.9136	1.081	0.257	-0.0698	-0.7368	1.2694	0.4764	0.4491	-0.8923	-1.3598	0.2139	-1.1381	1.0293	0.8641	-0.0527	-0.2867	-0.2868	-1.1567	-0.9058	-0.152	-0.8212	-0.8469	-0.2753	-0.8647	3.3692	-1.2766	0.8231	0.0526	-0.944	-0.9373
SRC|Src	-0.1174	-0.337	2.2964	-1.1809	-0.5464	-1.1353	-0.5237	2.761	0.6323	-0.8093	0.3126	0.8223	1.6332	-0.102	0.1915	-0.6532	-1.3894	0.9264	-1.0695	-0.5763	-0.0396	-0.3098	0.3396	0.454	-0.1863	-0.3038	-1.1982	-1.0227	1.1072	0.2524	-1.2078	1.274	-0.2941
SRC|Src_pY416	-0.6447	0.3672	0.7301	-0.6602	0.3612	-0.9423	0.5885	-0.5818	0.9177	-1.1628	0.0898	-1.2632	-0.6327	-1.2251	2.6309	0.4135	-0.0813	-0.6815	-1.6753	-1.7211	-0.6101	1.3422	0.6302	0.128	0.8207	-0.2283	-0.6234	-0.6827	1.2219	0.6189	2.1487	0.171	0.2361
SRC|Src_pY527	-0.0999	0.2682	1.1949	-0.1426	0.1778	-0.7291	1.4641	-1.2472	0.1708	-0.9132	0.1227	-1.0884	1.1313	-2.0852	1.6286	0.0884	0.4693	-0.2624	-2.7738	-1.7306	-0.0125	0.8542	0.6293	0.7928	0.913	-0.0603	-0.9794	-0.1983	1.1278	-0.1812	0.1852	0.3953	0.8903
STAT3|STAT3_pY705	-0.5712	-0.379	-1.863	-0.8045	-0.8118	0.573	0.6253	0.2578	1.0236	-0.8224	-0.5943	-0.216	-2.3976	0.7731	1.0317	-1.5762	0.0887	1.2701	1.1534	1.5601	0.1751	-0.3215	-0.7574	-0.1338	1.3219	-1.4101	1.8176	0.7006	0.6689	-0.0201	0.3964	-0.8344	0.0759
STAT5A|STAT5-alpha	0.316	0.0853	-0.4614	-1.1766	-0.4883	1.4316	-0.0452	0.4165	-1.3009	0.5718	-0.7184	0.3625	-1.3529	-2.6325	0.8485	0.2347	0.1625	-1.1857	-0.4332	-0.8689	-0.798	1.2362	0.2785	-1.4693	0.4641	-0.1512	0.7215	0.0898	1.821	1.1767	1.3958	1.5588	-0.0895
STMN1|Stathmin	-0.3279	0.9948	0.079	0.5841	-0.7553	1.3268	-1.4455	-0.4158	2.2358	-0.0172	0.2496	0.1412	1.0381	0.8855	-1.0754	-0.606	-0.9508	-0.3669	2.1475	-0.8147	-0.6545	-0.5191	-0.8327	1.9402	-0.8787	0.6449	0.2728	-0.1467	-1.2028	-0.5918	-1.1538	-1.0304	1.2457
SYK|Syk	0.3492	0.0376	0.9502	-0.1479	0.3201	0.8744	-0.047	0.5075	-3.0951	0.4985	-0.1243	-0.6964	1.0257	-2.6507	-0.5212	0.7057	0.0453	-0.0998	0.0017	0.7368	0.3292	0.2588	0.1662	-1.5844	0.8448	0.2348	-0.5794	0.497	0.7719	-0.4081	0.6506	1.7819	-1.6336
TSC2|Tuberin	1.0485	-0.2732	0.0212	0.0702	1.3069	1.5229	-0.2585	0.3114	-3.2256	0.9555	0.3414	-0.2274	1.0362	-2.202	-0.6315	0.3276	0.1688	-1.3616	0.121	-0.3725	-0.3931	-0.383	-0.3569	-0.9988	0.3804	0.1081	-0.454	0.0584	0.6985	1.0875	1.7067	0.738	-0.8711
KDR|VEGFR2	0.0138	-1.4733	0.2512	0.5004	-2.3989	-0.408	-0.148	0.3814	-0.8682	-0.5427	-0.1751	0.3004	-1.6201	0.5695	1.7605	-0.4454	-0.8876	1.289	-1.4867	0.4136	-0.6148	2.0811	-0.5121	0.1503	-0.7802	-0.5028	-0.5481	0.4775	0.838	1.5186	0.8286	0.9091	1.129
XRCC1|XRCC1	0.3657	-1.389	0.77	0.4021	1.5208	1.0008	-0.6696	-0.6267	-3.8076	-0.8849	0.2637	0.3069	0.4006	1.3267	0.0133	0.636	0.0526	0.5717	1.4352	0.2064	-0.1207	0.8888	-0.1089	-1.1642	0.121	-0.0304	-0.4209	0.3635	-0.4515	0.4538	0.6039	-0.5171	-1.5121
YAP1|YAP	0.109	-0.9445	-0.2176	-0.0602	-0.9752	-1.2753	-0.4872	0.0441	3.2054	-0.6514	-1.0174	0.1384	-0.2925	2.1185	0.2278	-0.1369	-1.1342	0.856	-0.0587	0.0931	-0.7014	-0.0704	-0.408	2.3104	-1.04	-0.2422	-0.2075	-0.2112	-0.8464	0.0487	0.1757	-0.0278	1.6792
YAP1|YAP_pS127	-0.4057	-0.534	-0.0533	-0.1331	-1.211	-1.4213	0.487	0.0947	2.0746	0.0125	0.2896	0.4123	-0.9146	-0.7309	0.5919	0.3535	-0.567	1.374	-2.4002	0.4644	-0.0217	0.0319	-0.4454	2.1643	-1.5569	-0.254	0.1847	-0.1588	-0.1499	-0.2742	0.575	-0.3705	2.4919
YBX1|YB-1	0.4103	0.5163	0.5612	-0.2081	-0.8607	0.3999	-0.8016	-0.3048	2.1971	0.3676	-0.6029	-0.8743	0.3144	0.2309	-1.0251	0.0898	-0.8924	-0.4044	-0.33	0.4796	-1.4857	-1.2586	-1.654	1.6232	-1.4269	-0.147	0.6593	1.4911	-1.1042	0.817	0.2991	2.4219	0.5016
YBX1|YB-1_pS102	-0.7179	0.2831	-0.9618	-0.123	0.4015	-1.387	0.3261	0.4369	1.4468	-0.1097	-0.648	-1.9357	0.642	-1.4225	1.9657	1.8342	-0.1905	-0.8848	-0.8329	-1.6179	-0.2425	1.2572	0.8455	1.5578	0.4219	-1.1224	-0.395	0.0488	-0.8097	-0.3878	0.797	0.63	0.8946
EIF4EBP1|4E-BP1_pT70	-0.5665	1.7953	-0.422	0.3212	-1.1203	-0.1454	-1.38	0.039	3.0591	-0.5416	0.3483	-0.5545	-0.6694	0.6083	-0.7185	-0.4401	-0.6282	1.6357	-0.7266	-0.9142	-0.7794	-0.0184	-0.8202	1.8239	-0.8229	1.609	-0.4388	-0.2672	-0.1749	-0.76	0.55	0.1881	0.9313
ARAF|A-Raf_pS299	-0.9655	-0.0178	0.1749	0.3407	1.9563	0.0214	0.5952	0.358	-1.7767	-0.647	-0.8219	-0.6521	-0.3087	1.1894	1.2301	2.5477	-0.2892	0.4449	-1.4633	-0.2746	-0.8447	1.2023	1.1178	-0.4159	0.1349	-0.3555	-1.0621	-1.3883	-0.4931	-0.9139	1.7122	0.0263	-0.3617
ANXA7|Annexin_VII	0.6066	-0.6459	1.2362	-0.8358	-0.2033	-0.3977	0.1275	1.5784	-1.6597	-0.2261	-0.3805	0.6099	0.3061	-0.1612	0.5774	-0.9578	-0.3063	1.8121	-1.3851	1.4544	-0.6271	1.2821	0.2356	-2.6748	-1.2995	0.1101	-0.9446	0.1241	1.1467	0.0082	0.8031	1.0936	-0.4066
ARID1A|ARID1A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BRAF|B-Raf	0.3091	1.169	-0.3547	-0.8817	1.1799	2.4647	-0.7147	0.7266	-1.2701	0.8327	1.0715	-0.638	1.3361	-1.6413	-0.8313	0.4997	-0.2639	-1.5052	0.9186	0.2049	-0.9914	-0.8137	1.0248	-0.5531	0.0766	-0.3032	0.3997	0.4676	-0.3344	0.0044	0.5173	0.2793	-2.3858
BAD|Bad_pS112	-0.0002	-0.3243	-0.5598	-0.6614	0.1818	-1.2342	0.3411	1.2854	1.0102	0.3243	0.1371	-0.5418	0.7597	-2.5899	0.9678	0.5344	0.1045	-0.7709	-2.8566	-0.6313	-0.0668	1.4962	0.4719	0.1908	0.7204	-0.145	0.2254	-1.0316	1.3016	-0.6693	1.3847	1.1244	-0.4785
BAP1|Bap1-c-4	0.635	1.8161	0.0746	0.1538	1.5738	1.3377	-0.5346	0.0069	-0.5442	-0.1035	-0.1845	-0.4601	0.3198	-2.4635	-0.2823	0.2429	0.2015	-2.2314	0.5535	1.1303	-0.6867	-0.1071	0.6104	-1.5402	0.2316	1.065	0.1218	-0.1638	0.0929	0.7087	0.9386	-0.1973	-2.3158
